procWeight, totalSymbols, maximumResourceConsumption, reproductionLength, localCELength, stackHeight, numReturns
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 0, 6, 0
2.0, 100, 71, 70, 2, 27, 12
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 95, 95, 94, 1, 1
2.0, 1000, 247, 247, 1, 86, 238
1.0, 1, 1, 1, 0, 1, 0
0.1, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 2, 5, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 100, 100, 21, 2, 0
1.0, 100, 80, 79, 1, 26, 9
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 2, 3, 0
1.0, 100, 65, 65, 3, 17, 8
2.0, 1, 1, 1, 0, 1, 0
5.0, 1, 1, 1, 0, 1, 0
2.0, 10, 7, 5, 0, 4, 1
5.0, 10, 10, 10, 0, 8, 0
2.0, 100, 77, 76, 1, 29, 12
5.0, 100, 71, 71, 0, 40, 13
0.1, 1000, 395, 373, 372, 1, 31
2.0, 1, 1, 1, 0, 1, 0
1.0, 1000, 172, 133, 5, 39, 221
1.0, 1000, 159, 105, 14, 21, 219
0.1, 1000, 289, 229, 3, 3, 34
2.0, 1000, 199, 135, 12, 40, 279
2.0, 10, 10, 10, 2, 5, 0
2.0, 100, 84, 84, 0, 34, 10
2.0, 1000, 216, 148, 5, 55, 256
5.0, 1000, 448, 448, 5, 227, 254
2.0, 10000, 366, 271, 0, 100, 3016
0.1, 10000, 2660, 2660, 28, 3, 350
0.1, 10000, 2460, 2454, 23, 2, 369
1.0, 10000, 164, 92, 0, 25, 2203
1.0, 10000, 260, 94, 6, 26, 2201
5.0, 10000, 1251, 1215, 1, 581, 3662
2.0, 10000, 252, 170, 1, 52, 3037
2.0, 10000, 302, 187, 1, 67, 3009
1.0, 100000, 307, 158, 6, 31, 22155
5.0, 100000, 1989, 1443, 1, 670, 39624
0.1, 100000, 28176, 28165, 8, 8, 3684
0.1, 100000, 27104, 27085, 3, 3, 3643
1.0, 100000, 243, 107, 5, 22, 22124
2.0, 100000, 457, 269, 1, 91, 30818
2.0, 100000, 292, 192, 0, 56, 30744
2.0, 100000, 339, 221, 2, 76, 30748
1.0, 1000000, 344, 129, 6, 29, 221873
0.1, 1000000, 270826, 270770, 1, 4, 36615
0.1, 1000000, 274382, 274377, 12, 2, 36607
2.0, 1000000, 501, 231, 2, 77, 307411
5.0, 1000000, 2243, 1554, 3, 723, 399743
1.0, 1000000, 358, 100, 8, 20, 221594
2.0, 1000000, 360, 245, 4, 67, 307869
2.0, 1000000, 415, 259, 1, 73, 308210
5.0, 10000000, 2243, 1726, 1, 790, 3999347
1.0, 10000000, 414, 265, 8, 35, 2220139
2.0, 10000000, 588, 361, 1, 114, 3077021
2.0, 10000000, 404, 196, 2, 49, 3074756
2.0, 10000000, 457, 290, 5, 83, 3076972
0.1, 10000000, 2685144, 2685144, 30, 3, 369749
1.0, 10000000, 418, 207, 2, 26, 2220669
0.1, 10000000, 2670014, 2669882, 160, 2, 369642
5.0, 100000000, 2648, 1706, 0, 799, 40001613
2.0, 100000000, 604, 262, 1, 88, 30774243
2.0, 100000000, 498, 213, 1, 70, 30772039
2.0, 100000000, 434, 221, 3, 51, 30767276
0.1, 100000000, 26774191, 26774191, 4, 4, 3703081
1.0, 100000000, 501, 222, 7, 21, 22218447
0.1, 100000000, 26708534, 26708534, 49, 3, 3701723
1.0, 100000000, 463, 134, 7, 19, 22219953
5.0, 1000000000, 2648, 1710, 0, 765, 400004650
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 1, 2, 0
0.01, 1000, 994, 994, 993, 1, 2
0.01, 10000, 9110, 9110, 18, 2, 34
0.01, 100000, 88662, 88662, 88661, 1, 416
0.01, 1000000, 892013, 892013, 892012, 1, 4005
0.01, 10000000, 8923783, 8923783, 8923782, 1, 39862
2.0, 1000000000, 700, 329, 1, 86, 307708818
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 7, 0
5.0, 100, 87, 87, 2, 55, 7
5.0, 1000, 461, 461, 5, 239, 264
5.0, 10000, 1201, 1199, 0, 573, 3668
5.0, 100000, 2282, 2163, 1, 962, 39434
5.0, 1000000, 2547, 2001, 2, 897, 399436
2.0, 1000000000, 541, 305, 1, 81, 307694276
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 9, 9, 1, 6, 1
5.0, 100, 77, 77, 0, 45, 12
5.0, 1000, 321, 249, 0, 141, 308
5.0, 10000, 709, 672, 4, 321, 3800
5.0, 100000, 845, 683, 2, 325, 39795
5.0, 1000000, 936, 582, 0, 287, 399576
5.0, 10000000, 2654, 1847, 1, 835, 4000252
2.0, 1000000000, 473, 169, 1, 40, 307672425
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 8, 0
5.0, 100, 80, 80, 1, 43, 12
5.0, 1000, 330, 322, 0, 146, 312
5.0, 10000, 481, 456, 1, 192, 3873
0.1, 1000000000, 267524115, 267524103, 1, 2, 37044085
5.0, 100000, 599, 415, 4, 173, 39755
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 7, 2, 0
0.5, 100, 76, 72, 14, 9, 8
0.5, 1000, 136, 87, 6, 15, 131
0.5, 10000, 258, 132, 0, 15, 1384
0.5, 100000, 296, 128, 1, 13, 14271
5.0, 1000000, 628, 450, 0, 167, 399769
0.5, 1000000, 504, 360, 5, 20, 143041
5.0, 10000000, 940, 633, 7, 296, 4000015
0.1, 1000000000, 267329909, 267329907, 267329906, 1, 37030135
0.5, 1, 1, 1, 0, 1, 0
0.5, 10, 10, 10, 8, 2, 0
0.5, 100, 58, 46, 11, 7, 10
0.5, 1000, 123, 67, 11, 8, 144
0.5, 10000, 209, 118, 1, 10, 1429
0.5, 100000, 314, 210, 1, 18, 14240
0.5, 1000000, 461, 355, 2, 23, 142912
1.0, 1000000000, 537, 272, 4, 40, 222224545
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 9, 9, 1, 5, 1
2.0, 100, 68, 65, 1, 30, 12
2.0, 1000, 249, 249, 0, 93, 243
2.0, 10000, 451, 368, 0, 131, 3040
2.0, 100000, 474, 329, 0, 116, 30701
2.0, 1000000, 574, 417, 15, 121, 307760
5.0, 10000000, 693, 413, 0, 173, 4000066
0.5, 10000000, 1116, 858, 21, 12, 1428308
1.0, 1000000000, 566, 143, 3, 18, 222231169
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 0, 5, 0
2.0, 100, 61, 49, 3, 17, 14
2.0, 1000, 232, 232, 2, 73, 247
2.0, 10000, 287, 202, 0, 56, 2993
2.0, 100000, 318, 193, 8, 61, 30791
2.0, 1000000, 384, 234, 1, 59, 307578
0.5, 10000000, 1597, 1284, 4, 17, 1427620
2.0, 10000000, 638, 481, 0, 152, 3076246
2.0, 10000000, 423, 290, 8, 71, 3077363
0.01, 100000000, 89320545, 89320545, 89320544, 1, 396469
5.0, 100000000, 2712, 1751, 2, 778, 39997366
5.0, 100000000, 1046, 585, 3, 281, 40002737
5.0, 100000000, 737, 438, 0, 167, 40000498
0.5, 100000000, 9388, 9254, 2, 16, 14286774
0.5, 100000000, 10908, 10653, 3, 14, 14280864
2.0, 100000000, 699, 254, 1, 81, 30767366
2.0, 100000000, 446, 268, 0, 65, 30772801
0.01, 1000000000, 893142162, 893142162, 893142161, 1, 3967789
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 56, 56, 55, 1, 2
0.1, 1000, 440, 440, 10, 3, 29
0.1, 10000, 3394, 3266, 3265, 1, 339
0.1, 100000, 27479, 27383, 2, 2, 3605
0.1, 1000000, 268235, 268199, 14, 3, 36792
5.0, 1000000000, 2783, 1817, 0, 826, 399997068
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 932, 932, 931, 1, 4
0.01, 10000, 9355, 9355, 9354, 1, 26
0.01, 100000, 90357, 90337, 90336, 1, 384
0.01, 1000000, 894461, 894430, 894429, 1, 3946
5.0, 1000000000, 1071, 640, 4, 296, 399990557
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 911, 911, 5, 2, 3
0.01, 10000, 9118, 9118, 9117, 1, 25
0.01, 100000, 90903, 90903, 35, 2, 335
0.1, 10000000, 2693466, 2693458, 2693457, 1, 370653
0.01, 1000000, 894232, 894232, 894231, 1, 3906
0.01, 10000000, 8939714, 8939714, 8939713, 1, 39517
0.01, 10000000, 8932244, 8932244, 8932243, 1, 39345
5.0, 1000000000, 765, 437, 1, 157, 400001241
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 99, 1, 0
0.01, 1000, 999, 999, 998, 1, 1
0.01, 10000, 8949, 8936, 8935, 1, 38
0.01, 100000, 90159, 90159, 90158, 1, 371
0.01, 1000000, 898481, 898481, 898480, 1, 3959
0.01, 10000000, 8983572, 8983572, 8983571, 1, 39610
2.0, 1000000000, 704, 272, 0, 93, 307667350
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 10, 0
5.0, 100, 86, 86, 0, 58, 7
5.0, 1000, 435, 435, 0, 231, 266
5.0, 10000, 1758, 1707, 4, 753, 3549
5.0, 100000, 4010, 3679, 0, 1582, 39082
5.0, 1000000, 5885, 4415, 0, 1874, 399136
0.5, 1000000000, 85017, 84837, 0, 8, 142848544
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 1, 2, 0
1.0, 100, 57, 57, 0, 12, 11
1.0, 1000, 210, 109, 3, 21, 200
1.0, 10000, 272, 224, 8, 39, 2221
1.0, 100000, 280, 133, 2, 29, 22189
1.0, 1000000, 371, 160, 9, 21, 222267
5.0, 10000000, 5969, 4870, 0, 2042, 3998627
0.5, 1000000000, 103136, 102980, 7, 13, 142857855
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 7, 2, 0
1.0, 100, 63, 60, 0, 17, 10
1.0, 1000, 176, 161, 0, 37, 207
1.0, 10000, 222, 146, 1, 30, 2189
2.0, 1000000000, 490, 139, 1, 44, 307709883
1.0, 100000, 259, 105, 0, 21, 22166
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 0, 7, 0
5.0, 100, 75, 75, 0, 45, 17
5.0, 1000, 326, 321, 0, 159, 317
5.0, 10000, 486, 453, 3, 198, 3912
5.0, 100000, 576, 445, 0, 196, 39877
